event_id,camera_id,frame_id,relative_sec,global_gt_id,best_head_crop,best_body_crop,identity_status,matched_known_id,matched_known_score,unknown_global_id,resolved_global_id,resolution_source,decision_reason,embedding_status,face_count,det_score,used_crop,used_crop_path,face_bbox
IN_C6_147_00000225,C6,225,22.5,147,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_147_00000225_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_147_00000225_body.png,known,known_demo_gt_0147,1.0000,,known_demo_gt_0147,face_match:best_body_crop,best_known_match_over_threshold,no_face,0,,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C6\IN_C6_147_00000225_head.png,
IN_C5_147_00000240,C5,240,24,147,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_147_00000240_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_147_00000240_body.png,known,known_demo_gt_0147,1.0000,,known_demo_gt_0147,face_match:best_body_crop,best_known_match_over_threshold,ok,1,0.8498,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_147_00000240_body.png,"[93, 41, 124, 80]"
IN_C5_166_00000285,C5,285,28.5,166,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_166_00000285_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_166_00000285_body.png,unknown,,0.0836,UNK_0001,UNK_0001,unknown_assignment,no_known_match_over_threshold,ok,1,0.7563,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_166_00000285_body.png,"[-4, 55, 28, 97]"
IN_C5_582_00000320,C5,320,32,582,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_582_00000320_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_582_00000320_body.png,unknown,,,UNK_0002,UNK_0002,unknown_assignment,no_known_match_over_threshold,no_face,0,,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_582_00000320_head.png,
IN_C5_483_00000330,C5,330,33,483,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_483_00000330_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_483_00000330_body.png,unknown,,0.0739,UNK_0003,UNK_0003,unknown_assignment,no_known_match_over_threshold,ok,1,0.7907,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_483_00000330_body.png,"[1, 54, 30, 87]"
IN_C5_158_00000340,C5,340,34,158,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_158_00000340_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_158_00000340_body.png,unknown,,0.0831,UNK_0004,UNK_0004,unknown_assignment,no_known_match_over_threshold,ok,1,0.7048,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_158_00000340_head.png,"[57, 28, 82, 67]"
IN_C5_190_00000350,C5,350,35,190,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_190_00000350_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_190_00000350_body.png,unknown,,0.0544,UNK_0005,UNK_0005,unknown_assignment,no_known_match_over_threshold,ok,2,0.6976,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_190_00000350_head.png,"[41, 15, 76, 53]"
IN_C5_163_00000355,C5,355,35.5,163,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_163_00000355_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_163_00000355_body.png,unknown,,0.2636,UNK_0006,UNK_0006,unknown_assignment,no_known_match_over_threshold,ok,1,0.5258,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_163_00000355_head.png,"[-6, 18, 19, 58]"
IN_C5_277_00000380,C5,380,38,277,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_277_00000380_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_277_00000380_body.png,unknown,,0.1232,UNK_0007,UNK_0007,unknown_assignment,no_known_match_over_threshold,ok,1,0.6930,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_277_00000380_head.png,"[13, 50, 43, 90]"
IN_C5_620_00000460,C5,460,46,620,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_620_00000460_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_620_00000460_body.png,unknown,,0.0282,UNK_0008,UNK_0008,unknown_assignment,no_known_match_over_threshold,ok,1,0.8137,best_body_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_620_00000460_body.png,"[7, 34, 42, 81]"
IN_C5_283_00000475,C5,475,47.5,283,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_283_00000475_head.png,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_283_00000475_body.png,unknown,,,UNK_0009,UNK_0009,unknown_assignment,no_known_match_over_threshold,no_face,0,,best_head_crop,D:\ĐỒ ÁN TỐT NGHIỆP\wildtrack_demo\output\best_shots\C5\IN_C5_283_00000475_head.png,
