resolved_global_id,identity_status,matched_known_id,unknown_global_id,global_gt_id,camera_id,frame_id,relative_sec,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,stream_unification_basis
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,220,22,323,174,399,407,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,225,22.5,392,167,464,392,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,230,23,470,162,540,382,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,235,23.5,522,158,589,376,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,240,24,612,151,676,364,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,245,24.5,659,147,721,355,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,250,25,723,143,783,348,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,255,25.5,781,138,839,340,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,260,26,837,134,893,334,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,260,26,204,268,344,679,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,265,26.5,889,131,944,330,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,265,26.5,350,260,484,668,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,270,27,952,127,1005,322,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,270,27,470,251,597,651,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,275,27.5,993,123,1045,316,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,275,27.5,604,241,724,634,wildtrack_global_gt_id_demo_bridge
