"camera_id","role","global_gt_id","position_id","frame_id","frame_key","relative_sec","xmin","ymin","xmax","ymax","width","height","area","center_x","center_y","foot_x","foot_y","image_rel_path"
"C3","followup","0","363515","0","00000000","0","1520","149","1612","447","92","298","27416","1566","298","1566","447","Image_subsets\\C3\\00000000.png"
"C3","followup","1","355837","0","00000000","0","1468","147","1555","436","87","289","25143","1511.5","291.5","1511.5","436","Image_subsets\\C3\\00000000.png"
"C3","followup","3","323750","0","00000000","0","1084","157","1155","428","71","271","19241","1119.5","292.5","1119.5","428","Image_subsets\\C3\\00000000.png"
"C3","followup","4","322831","0","00000000","0","943","168","1020","448","77","280","21560","981.5","308","981.5","448","Image_subsets\\C3\\00000000.png"
"C3","followup","5","374375","0","00000000","0","216","282","366","723","150","441","66150","291","502.5","291","723","Image_subsets\\C3\\00000000.png"
"C3","followup","7","186135","0","00000000","0","354","154","417","346","63","192","12096","385.5","250","385.5","346","Image_subsets\\C3\\00000000.png"
"C3","followup","8","172233","0","00000000","0","295","154","357","342","62","188","11656","326","248","326","342","Image_subsets\\C3\\00000000.png"
"C3","followup","9","154944","0","00000000","0","307","149","365","327","58","178","10324","336","238","336","327","Image_subsets\\C3\\00000000.png"
"C3","followup","12","427629","0","00000000","0","556","362","752","988","196","626","122696","654","675","654","988","Image_subsets\\C3\\00000000.png"
"C3","followup","15","449133","0","00000000","0","1505","318","1711","945","206","627","129162","1608","631.5","1608","945","Image_subsets\\C3\\00000000.png"
"C3","followup","16","165640","0","00000000","0","1065","101","1105","254","40","153","6120","1085","177.5","1085","254","Image_subsets\\C3\\00000000.png"
"C3","followup","17","408785","0","00000000","0","1263","235","1382","679","119","444","52836","1322.5","457","1322.5","679","Image_subsets\\C3\\00000000.png"
"C3","followup","25","229922","0","00000000","0","1306","100","1352","274","46","174","8004","1329","187","1329","274","Image_subsets\\C3\\00000000.png"
"C3","followup","26","130112","0","00000000","0","1005","98","1042","240","37","142","5254","1023.5","169","1023.5","240","Image_subsets\\C3\\00000000.png"
"C3","followup","28","138757","0","00000000","0","1013","99","1051","244","38","145","5510","1032","171.5","1032","244","Image_subsets\\C3\\00000000.png"
"C3","followup","29","158888","0","00000000","0","1106","97","1145","246","39","149","5811","1125.5","171.5","1125.5","246","Image_subsets\\C3\\00000000.png"
"C3","followup","32","87391","0","00000000","0","929","97","965","227","36","130","4680","947","162","947","227","Image_subsets\\C3\\00000000.png"
"C3","followup","33","292349","0","00000000","0","1478","109","1540","318","62","209","12958","1509","213.5","1509","318","Image_subsets\\C3\\00000000.png"
"C3","followup","247","430931","0","00000000","0","1050","314","1205","891","155","577","89435","1127.5","602.5","1127.5","891","Image_subsets\\C3\\00000000.png"
"C3","followup","0","363513","5","00000005","0.5","1526","149","1618","446","92","297","27324","1572","297.5","1572","446","Image_subsets\\C3\\00000005.png"
"C3","followup","1","355837","5","00000005","0.5","1468","147","1555","436","87","289","25143","1511.5","291.5","1511.5","436","Image_subsets\\C3\\00000005.png"
"C3","followup","3","308384","5","00000005","0.5","1043","151","1111","406","68","255","17340","1077","278.5","1077","406","Image_subsets\\C3\\00000005.png"
"C3","followup","4","306027","5","00000005","0.5","899","161","971","423","72","262","18864","935","292","935","423","Image_subsets\\C3\\00000005.png"
"C3","followup","5","381547","5","00000005","0.5","413","275","555","718","142","443","62906","484","496.5","484","718","Image_subsets\\C3\\00000005.png"
"C3","followup","7","175078","5","00000005","0.5","390","148","449","334","59","186","10974","419.5","241","419.5","334","Image_subsets\\C3\\00000005.png"
"C3","followup","8","163578","5","00000005","0.5","329","150","388","331","59","181","10679","358.5","240.5","358.5","331","Image_subsets\\C3\\00000005.png"
"C3","followup","9","146771","5","00000005","0.5","334","145","390","319","56","174","9744","362","232","362","319","Image_subsets\\C3\\00000005.png"
"C3","followup","12","432413","5","00000005","0.5","726","358","914","991","188","633","119004","820","674.5","820","991","Image_subsets\\C3\\00000005.png"
"C3","followup","16","165639","5","00000005","0.5","1067","101","1107","254","40","153","6120","1087","177.5","1087","254","Image_subsets\\C3\\00000005.png"
"C3","followup","17","416432","5","00000005","0.5","1482","225","1621","670","139","445","61855","1551.5","447.5","1551.5","670","Image_subsets\\C3\\00000005.png"
"C3","followup","25","219360","5","00000005","0.5","1278","99","1322","269","44","170","7480","1300","184","1300","269","Image_subsets\\C3\\00000005.png"
"C3","followup","26","127712","5","00000005","0.5","1000","98","1037","240","37","142","5254","1018.5","169","1018.5","240","Image_subsets\\C3\\00000005.png"
"C3","followup","28","139212","5","00000005","0.5","1057","97","1094","240","37","143","5291","1075.5","168.5","1075.5","240","Image_subsets\\C3\\00000005.png"
"C3","followup","32","87391","5","00000005","0.5","929","97","965","227","36","130","4680","947","162","947","227","Image_subsets\\C3\\00000005.png"
"C3","followup","33","292349","5","00000005","0.5","1478","109","1540","318","62","209","12958","1509","213.5","1509","318","Image_subsets\\C3\\00000005.png"
"C3","followup","247","430919","5","00000005","0.5","1135","303","1285","868","150","565","84750","1210","585.5","1210","868","Image_subsets\\C3\\00000005.png"
"C3","followup","1","355835","10","00000010","1","1474","147","1561","435","87","288","25056","1517.5","291","1517.5","435","Image_subsets\\C3\\00000010.png"
"C3","followup","3","290623","10","00000010","1","985","146","1049","385","64","239","15296","1017","265.5","1017","385","Image_subsets\\C3\\00000010.png"
